Année du Baccalauréat,Enseignements de spécialité,Formation,Nombre de candidats bacheliers ayant confirmé au moins un vœu,Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission,Nombre de candidats bacheliers ayant accepté une proposition d'admission,,,Formation
2024,"Art, Mathématiques Spécialité","Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers",15,5,3,,,
2024,"Art, Mathématiques Spécialité",Licence Sciences et technologies industrielles,61,25,12,,,
2024,"Art, Numérique et Sciences Informatiques",Licence Physique et chimie,4,0,0,,,
2024,"Sciences de l'ingénieur et sciences physiques, Éducation physique, pratiques et culture sportives",Licence Sciences juridiques,0,0,0,,,
2024,"Sciences de l'ingénieur et sciences physiques, Éducation physique, pratiques et culture sportives","Licence Sociologie, Démographie",1,0,0,,,
2024,"Sciences de l'ingénieur et sciences physiques, Éducation physique, pratiques et culture sportives",Sciences po,0,0,0,,,
2024,"Sciences de la vie et de la Terre Spécialité, Histoire-Géographie, Géopolitique et Sciences politiques",CPGE L,150,107,40,,,
2024,"Sciences de la vie et de la Terre Spécialité, Histoire-Géographie, Géopolitique et Sciences politiques",Licence Génie civil,8,5,0,,,
2024,"Sciences de la vie et de la Terre Spécialité, Humanités, Littérature et Philosophie",Licence Mathématiques et informatique,0,0,0,,,
2024,"Sciences de la vie et de la Terre Spécialité, Humanités, Littérature et Philosophie","Licence Sciences de l univers, de la terre, de l espace",147,52,8,,,
2024,"Sciences de la vie et de la Terre Spécialité, Humanités, Littérature et Philosophie",Licence Sciences de l éducation,380,220,57,,,
2024,"Art, Mathématiques Spécialité",Ensemble des bacheliers,2155,1936,1526,,,
2024,"Sciences de la vie et de la Terre Spécialité, Sciences Economiques et Sociales Spécialité","Licence Psychlogie, Sciences cognitives",3301,1795,783,,,
2024,"Sciences de la vie et de la Terre Spécialité, Sciences Economiques et Sociales Spécialité",PASS,1778,498,197,,,
2024,"Mathématiques Spécialité, Sciences Economiques et Sociales Spécialité",Ensemble des bacheliers,35009,33398,29978,,,
2024,"Mathématiques Spécialité, Sciences de la vie et de la Terre Spécialité",Ensemble des bacheliers,23283,22211,20010,,,
2024,"Physique-Chimie Spécialité, Sciences de la vie et de la Terre Spécialité",Ensemble des bacheliers,38245,37146,34637,,,
2024,"Sciences Economiques et Sociales Spécialité, Histoire-Géographie, Géopolitique et Sciences politiques",Ensemble des bacheliers,51548,49344,44776,,,
